Title,URL,概要
RPA（ロボットによる業務自動化）とは | RPA テクノロジーズ株式会社,http://rpa-technologies.com/about/,1 RPA（Robotic Process Automation）とは. 「RPA」とは、ロボットによる業務自動化の取り組みを表す言葉です。「デジタルレイバー（Digital Labor）」や「仮想知的労働者」とも言い換えられ、人間の知能をコンピューター上で再現しようとするAIや、AIが反復によって学ぶ「機械学習」といった技術を用いて、主にバックオフィスにおけるホワイトカラー業務の代行を担います。 人間が行う業務の処理手順を操作画面上から登録しておくだけで、ソフトウェアはおろか、ブラウザやクラウドなどさまざまなアプリケーションを横断して ...
今さら聞けない、RPAとAI、botの違い (1/2) - ITmedia エンタープライズ,http://www.itmedia.co.jp/enterprise/articles/1707/12/news028.html,2017/07/12 - これからのITIL活用を考えるときに欠かせないRPA（Robotic Process Automation：ロボティクスプロセスオートメーション）について、似た技術であるAIやbotと比較しながら考察します。 (1/2)
RPA(Robotic Process Automation) 概説,https://www.esector.co.jp/special/rpa/rpa.html,ホワイトカラーの業務で行うPC操作をソフトウェアでロボット化するRPA(Robotic Process Automation)が注目されています。そのRPAを解説します。
ロボティック・プロセス・オートメーション - Wikipedia,https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%9C%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF%E3%83%BB%E3%83%97%E3%83%AD%E3%82%BB%E3%82%B9%E3%83%BB%E3%82%AA%E3%83%BC%E3%83%88%E3%83%A1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3,"ロボティック・プロセス・オートメーション（Robotic Process Automation, RPA）とは、認知技術（ルールエンジン・機械学習・人工知能等）を活用した、主にホワイトカラー業務の効率化・自動化の取組みである。人間の補完として業務を遂行できることから、仮想知的労働者（Digital Labor）とも言われている。 目次. [非表示]. 1 RPAと今までの自動化との違い; 2 RPAがもたらすインパクト; 3 RPAの将来; 4 脚注・出典; 5 外部リンク. RPAと今までの自動化との違い[編集]. RPAは、画面上のアプリケーション、システム画面を識別 ..."
RPA導入に向けて | 業務を効率化するツール15選 - RPA | ボクシルマガジン,https://boxil.jp/mag/a2909,4 日前 - RPAツールとは、Robotics Process Automation(ロボットによる業務自動化) のことをいいます。PCで行っている定型作業を、RPAツールを使って自動化できるのです。これにより、人件費の削減や工数削減が見込めます。※初回公開日：2017/08/19ボクシルでは法人向けITサービスを無料で比較・検討し、『資料請求』できます。ホワイトペーパーや特集記事等でサービス選びに役立つ情報提供も行っています。
RPA （ロボティックプロセスオートメーション）による定型業務からの解放 - IBM,https://www.ibm.com/think/jp-ja/business/rpa/,Cognitive、AIと並び話題のロボティック・プロセス・オートメーション（以下、RPA）。ビジネス・プロセス・アウトソーシング（以下、BPO）の現場では、すでにボリューム・ゾーンの定型業務にRPAを導入することでオペレーターの工数削減、すなわちコスト削減を実現しています。今やその流れはBPOの現場にとどまらず、多くの日本企業でもさまざまな業務においてRPAの検討、導入が進んでいます。 人からロボットに置き換えられる業務とは？自動化の技術はどこまで進化しているのか？RPAを有効に活用する方法は？今後の ...
RPA（ロボティック・プロセス・オートメーション） | KPMG | JP,https://home.kpmg.com/jp/ja/home/insights/2016/05/robotic-process-automation.html,RPAとは、仮想知的労働者（デジタルレイバー）とも呼ばれ、従来人手で行っていた業務をAIや機械学習等を含む認知技術の活用により自動化するものです。AI/RPA時代の働き方改革、今後のホワイトカラー業務の姿などの解説記事や、RPAをわかりやすく理解できる動画を掲載しています。
RPA導入の現場でいま何が起きているのか――机上検証の進め方、効果を ...,http://www.atmarkit.co.jp/ait/articles/1711/15/news019.html,2017/11/15 - RPA（Robotic Process Automation）とは何かという基本的なことから、導入するためのノウハウまでを解説する連載。今回は、机上検証の進め方と、効果を示す数値の導き方、さらに「導入の現場でいま何が起きているのか」を中心に解説します。
【2018年1月更新】注目のRPAツール13選（概要、機能、価格比較） | 業務 ...,https://kashika.biz/sps_rpa_tools_2017/,確かに、失礼ながら去年あたりまでは日本国内ではほとんど知られていなかった海外RPAツールの有力メーカー「UiPath社」や「BluePrism社」なども相次いで日本に進出してきており、直近では国内に支社も作られたようで、正に日本におけるRPA市場が急成長していると感じられるところです。 最大手と言われている「Automation Anywhere社」の製品も、つい最近大手国内ベンダーが取り扱いを始められたとの報道を耳にしました。また、NTTデータグループやNECグループなどの国内メーカーも自社製品の提供に大きく動 ...
RPAとは？業界屈指の導入実績から見えた導入の落し穴と成功の秘訣,https://thefinance.jp/fintech/170601,2017/06/01 - RPA（ロボティック・プロセス・オートメーション）が業務効率化を次のステージに推し進めている。コスト削減や業務品質向上など、RPA導入のインパクトは無視できない。一方、早期導入に失敗して成果を出せない企業も多い。何がRPA導入の成否を分けるのか。業界屈指の実績を誇るアクセンチュアがRPAの落し穴と成功の秘訣を語る。
【2018年1月更新】注目のRPAツール13選（概要、機能、価格比較） | 業務 ...,https://kashika.biz/sps_rpa_tools_2017/,確かに、失礼ながら去年あたりまでは日本国内ではほとんど知られていなかった海外RPAツールの有力メーカー「UiPath社」や「BluePrism社」なども相次いで日本に進出してきており、直近では国内に支社も作られたようで、正に日本におけるRPA市場が急成長していると感じられるところです。 最大手と言われている「Automation Anywhere社」の製品も、つい最近大手国内ベンダーが取り扱いを始められたとの報道を耳にしました。また、NTTデータグループやNECグループなどの国内メーカーも自社製品の提供に大きく動 ...
ロボティック・プロセス・オートメーション（RPA：Robotic Process ... - PwC,https://www.pwc.com/jp/ja/services/consulting/disruptive-technology/robotics/robotic-process-automation.html,RPAはソフトウェアロボットの特徴を最大限に発揮し、人の定型的な作業を自動化することが可能になります。PwCはRPA活用戦略から持続的な改善までトータルにサポートします。
RPAとは？業界屈指の導入実績から見えた導入の落し穴と成功の秘訣,https://thefinance.jp/fintech/170601,2017/06/01 - RPA（ロボティック・プロセス・オートメーション）が業務効率化を次のステージに推し進めている。コスト削減や業務品質向上など、RPA導入のインパクトは無視できない。一方、早期導入に失敗して成果を出せない企業も多い。何がRPA導入の成否を分けるのか。業界屈指の実績を誇るアクセンチュアがRPAの落し穴と成功の秘訣を語る。
RPAによる業務自動化 - 実力No.1（東証第一部）｜アイティフォー,http://www.itfor.co.jp/rpa/robotic_automation.html,RPA（Robotic Process Automation）ならNICE製品がおすすめです。Microsoft OfficeやWebだけでなく、さまざまなアプリの業務を自動化でき、管理機能も備えた実力No.1のRPAです。まずは資料をご請求ください。
RPA（Robotic Process Automation）業務改革サービス | 経営戦略／経営 ...,https://www.abeam.com/eu/ja/expertise/SL175,アビームコンサルティングの「RPA（Robotic Process Automation）業務改革サービス」です。アビームコンサルティングは、アジアを基点とするグローバルコンサルティングファームです。「RPA（Robotic Process Automation）業務改革サービス」で企業の経営をサポートいたします。
ロボティック・プロセス・オートメーション (RPA) ロボットによる業務自動化,https://www.uipath.com/ja/automate/robotic-process-automation,ロボットは広く浸透しています。ビジネスにロボットを取り入れるのが早ければ早いほど、競争力をいち早く手に入れられるようになります。RPAは、組織や業界全体にわたる正確性を向上しつつ、直接収益を生み出します。広範囲にわたる繰り返し作業を実行するよう設計されており、ソフトウェアロボットは、解釈を実行し、レスポンスをトリガーにして、人間が行うように他のシステムと通信します。ロボットは人間に比べて効率性で大きく上回り、決して眠ることはなく、ミスを犯さず、費用は従業員より大幅に抑えることができます。
Robotic Process Automation（RPA）｜サービス：CFOサービス｜デロイト ...,https://www2.deloitte.com/jp/ja/pages/finance/solutions/cfos/robotic-process-automation.html,少子高齢化の進展やアウトソーシング展開先の経済発展、Globalizationの加速といった企業を取り巻く環境の変化により、間接部門では今後更なる高コスト化や人材不足、業務量増加が見込まれます。その結果、少ない人員でより多くの業務を処理するために付加価値の低い単純な業務を効率化し、付加価値の高い業務への配置転換が必要となります。その施策として Robotic Process Automation（RPA：ロボティック・プロセス・オートメーション）を活用し、一部業務をロボに代替することが有効です。
RPAの効果的な導入と失敗しない運用のポイント | 野村総合研究所(NRI),https://www.nri.com/jp/journal/2017/11/20171101/,2017/11/01 - 国を挙げて働き方改革が進む中、業務の効率化や自動化に対する要請はますます高まっていくと考えられます。そこで、いま着目されているのが、RPA（Robotic Process Automation）という人間が行った実際の操作を記録して再現する、いわば業務をロボット化（自動化）するソフトウェアです。
日本企業で進むRPA導入、「働き方改革」の加速も期待 | Forbes JAPAN ...,https://forbesjapan.com/articles/detail/18750,2017/12/04 - RPA（ロボティック・プロセス・オートメーション）と呼ばれるロボットによる業務自動化への取り組みが日本でも進み始めている。「デジタルレイバー」「仮想知的労働者」などとも言い換えられ、人間の知能をコンピューター上で再現しようとする人工知能（A.
RPA | 法人サービス | ソフトバンク,https://tm.softbank.jp/sme/rpa/,「SynchRoid（シンクロイド）」は、ソフトウエアロボットが業務を自動化するRPAソリューションです。
RPA活用の盛り上がりは本物？--アビームが示す本格導入への“処方箋 ...,https://japan.zdnet.com/article/35111741/,2017/12/11 - アビームコンサルティングは12月7日、ソフトウェアロボットによる業務の自動化を指す「RPA（Robotic Process Automation）」に関する報道関係者向け説明会を開催した。最新のRPA導入動向や導入事例、先進企業が抱える悩みとそれに対する対処方法などを明らかにした。
ホワイトカラー生産性改革ソリューション ～RPA（Automation Anywhere）を ...,https://www.tis.jp/service_solution/rpa_aa/,2017/11/28 - 主にホワイトカラーの業務で行うPC操作をソフトウェアで自動化するRPA（Robotic Process Automation）製品について、独立系SIerとして最適なご提案から導入、運用サポートにより、業務のスピード向上、コスト削減、品質向上、統制強化などを実現します。
RPAの導入前に知っておきたい、RPAソフトウェアや事例の情報,http://usknet.com/rpa/index.htm,RPAの特集ページ。RPAの用語解説からソフトウェアの紹介、導入事例、無料でお届けするRPAマガジンの紹介も。
